time,total_bandwidth_usage,cpu,bw,n_users,qos
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:23.874000128,4.294,2000.0,5.0,5.0,0.8587999999999999
2024-05-18 11:00:24.874000128,3.873,2000.0,5.0,5.0,0.7746000000000001
2024-05-18 11:00:25.874000128,3.806,2000.0,5.0,5.0,0.7612
2024-05-18 11:00:26.874000128,4.178,2000.0,5.0,5.0,0.8356
2024-05-18 11:00:27.874000128,4.322,2000.0,5.0,5.0,0.8644000000000001
2024-05-18 11:00:28.874000128,4.432,2000.0,5.0,5.0,0.8864000000000001
2024-05-18 11:00:29.874000128,4.451,2000.0,5.0,5.0,0.8901999999999999
2024-05-18 11:00:30.874000128,4.305,2000.0,5.0,5.0,0.861
2024-05-18 11:00:31.874000128,4.033,2000.0,5.0,5.0,0.8066000000000001
2024-05-18 11:00:32.874000128,3.79,2000.0,5.0,5.0,0.758
2024-05-18 11:00:33.874000128,4.149,2000.0,5.0,5.0,0.8298
2024-05-18 11:00:34.874000128,4.18,2000.0,5.0,5.0,0.836
2024-05-18 11:00:35.874000128,4.002,2000.0,5.0,5.0,0.8004
2024-05-18 11:00:36.874000128,3.922,2000.0,5.0,5.0,0.7844
2024-05-18 11:00:37.874000128,3.96,2000.0,5.0,5.0,0.792
